system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_2_2_0,6520,6315,6754,7034,7012,6896,6591,1,1.0247307,0.8214595,-0.012214312,
1_1_1_1_2_3_0,8996,8777,9429,9245,8951,8994,9215,1,1.023223,0.76068205,-0.011478224,
1_1_1_1_2_4_0,5312,4944,5010,4892,4873,4787,4918,1,1.0187068,0.8358708,-0.00926672,
1_1_1_1_2_5_0,6467,6405,6880,7777,7894,7826,6900,1,0.9971014,0.742383,0.0014513788,
1_1_1_1_2_6_0,7345,7136,7411,7630,7525,7429,7092,1,1.0449803,0.8670853,-0.02199545,
1_1_1_1_2_7_0,4459,4565,4866,4859,4995,4961,4991,1,0.9749549,0.37936243,0.012681344,
1_1_1_1_2_8_0,7818,7638,8025,8127,8102,7883,7654,1,1.0484713,0.8679384,-0.023662223,
1_1_1_1_2_9_0,4879,4883,5224,5386,5384,5322,5183,1,1.0079105,0.7785467,-0.003939656,
1_1_1_1_2_10_0,5609,5636,5980,6191,5840,5916,5738,1,1.0421749,0.71750724,-0.020651989,
1_1_1_1_2_11_0,3530,3783,4152,4733,4532,4525,4228,1,0.9820246,0.5995772,0.009069213,
1_1_1_1_2_12_0,4678,4635,4846,4613,4850,4687,4819,1,1.0056028,0.50952613,-0.0027935852,
1_1_1_1_2_13_0,5934,5864,6242,6352,6315,6173,5982,1,1.0434637,0.84489536,-0.021269634,
1_1_1_1_2_14_0,5875,5827,6268,6396,6380,6288,6178,1,1.0145679,0.7879718,-0.0072312388,
1_1_1_1_2_15_0,6574,6533,6951,7113,7070,6879,6710,1,1.0359166,0.87191975,-0.01764146,
1_1_1_1_2_16_0,5834,5790,6195,6232,6375,6153,6103,1,1.0150746,0.7593437,-0.0074808914,
1_1_1_1_2_17_0,6495,6471,6849,7027,6969,6806,6675,1,1.0260674,0.8464831,-0.012866016,
1_1_1_1_2_18_0,6459,6442,6839,6907,6952,6814,6637,1,1.0304354,0.84267735,-0.014989611,
1_1_1_1_2_19_0,7187,7168,7613,7769,7673,7522,7311,1,1.0413076,0.8642393,-0.020235863,
1_1_1_1_2_20_0,6673,6646,7047,7164,7150,6999,6841,1,1.0301125,0.8760762,-0.014832949,
1_1_1_1_2_21_0,6714,6627,7018,7005,7038,6877,6736,1,1.0418646,0.84544694,-0.020503126,
